KID,Mass,logg,Teff,Amplitude
1160684,0.5244,4.48,3952,3.35
1292688,0.5146,4.86,3927,7.48
1569682,0.5154,4.69,3929,4.99
1718059,0.526,4.49,3956,3.13
1718071,0.5225,4.54,3947,5.77
1867358,0.4681,4.72,3807,6.92
1996728,0.4478,4.52,3754,55.69
2142451,0.4214,4.49,3684,5.87
2166547,0.4932,4.47,3872,4.05
2284919,0.4222,4.59,3686,4.57
2435893,0.5339,4.71,3976,5.54
2437816,0.5418,4.47,3996,5.23
2446934,0.5009,4.69,3892,5.17
2449101,0.3937,4.32,3609,8.07
2555523,0.5178,4.62,3935,4.74
2695885,0.3686,4.13,3540,7.56
2721113,0.4181,4.64,3675,3.31
2834075,0.5304,4.53,3967,8.68
2834778,0.4669,4.62,3804,5.76
2837046,0.39,4.18,3599,4.14
2973361,0.4414,4.58,3737,11.33
2973386,0.517,4.5,3933,8.17
3099491,0.4125,4.59,3660,6.44
3119525,0.4912,4.68,3867,5.04
3232334,0.5166,4.54,3932,2.5
3329865,0.5276,4.45,3960,1.43
3329985,0.4203,4.48,3681,6.06
3330684,0.0,-inf,0,5.1
3346467,0.5371,4.57,3984,3.87
3353108,0.5355,4.31,3980,5.35
3432286,0.5006,4.56,3891,3.49
3439791,0.5045,4.5,3901,2.46
3457861,0.528,4.56,3961,3.68
3527038,0.4815,4.66,3842,4.23
3527088,0.5037,4.78,3899,18.21
3534089,0.4271,4.42,3699,15.62
3540472,0.4738,4.59,3822,3.16
3545104,0.4293,4.57,3705,3.97
3545291,0.492,4.66,3869,4.93
3547906,0.5158,4.5,3930,3.4
3556242,0.4758,4.39,3827,4.43
3561148,0.3568,4.05,3507,3.28
3631844,0.5414,4.58,3995,6.05
3658619,0.3827,4.28,3579,7.19
3658781,0.4346,4.61,3719,4.14
3660458,0.3824,4.4,3578,4.67
3727538,0.5135,4.57,3924,6.15
3731429,0.4959,4.55,3879,7.84
3731432,0.4819,4.48,3843,13.46
3757788,0.4808,4.76,3840,5.78
3934593,0.4731,4.66,3820,4.85
3954217,0.4353,4.66,3721,4.55
3955963,0.4904,4.65,3865,8.42
3956389,0.5166,4.76,3932,13.65
3974804,0.4069,4.6,3645,5.14
4037164,0.5041,4.56,3900,8.97
4061149,0.4854,4.72,3852,5.15
4078900,0.5221,4.84,3946,3.81
4137187,0.5264,4.73,3957,2.27
4140528,0.4155,4.5,3668,5.33
4155840,0.3882,4.51,3594,6.69
4164424,0.4835,4.67,3847,4.93
4172805,0.4777,4.61,3832,3.67
4173466,0.4214,4.43,3684,6.92
4175517,0.3937,4.41,3609,5.5
4243354,0.5091,4.24,3913,3.52
4249500,0.3708,4.2,3546,9.64
4277623,0.3955,4.25,3614,11.03
4346765,0.4088,4.64,3650,5.14
4346809,0.3615,4.09,3520,4.83
4367318,0.4619,4.54,3791,4.05
4377055,0.5307,4.63,3968,1.87
4465957,0.4184,4.43,3676,2.54
4543236,0.404,4.59,3637,3.93
4544783,0.4143,4.55,3665,4.2
4575141,0.5233,4.58,3949,2.33
4680642,0.4177,4.54,3674,8.39
4680677,0.5064,4.62,3906,5.07
4737129,0.4707,4.59,3814,4.19
4752465,0.3784,4.46,3567,2.44
4755441,0.4199,4.56,3680,7.76
4756732,0.4742,4.68,3823,5.24
4768944,0.4248,4.44,3693,4.66
4773250,0.4263,4.42,3697,5.65
4813925,0.4796,4.42,3837,5.07
4832572,0.3672,4.11,3536,5.36
4840079,0.3755,4.3,3559,4.45
4861287,0.4784,4.49,3834,4.43
4863874,0.4166,4.55,3671,5.97
4909186,0.3633,4.1,3525,11.36
4931188,0.4854,4.67,3852,2.11
4932675,0.3805,4.2,3573,3.18
4939621,0.5189,4.53,3938,2.54
4949012,0.5418,4.48,3996,3.75
